Playerid,Name,Age,Nationality,Overall,Potential,Club,Value,Wage
2292,G. Angella,28,Italy,74,74,Udinese,4600000,25000
2293,A. Martynovich,29,Belarus,74,74,FC Krasnodar,4400000,36000
2294,I. Nestorovski,27,FYR Macedonia,74,75,Palermo,6500000,6000
2295,Cristiano,30,Brazil,74,74,Kashiwa Reysol,5500000,15000
2296,L. Zuffi,27,Switzerland,74,76,FC Basel,5500000,32000
2297,Emilio Piodao,25,Brazil,74,74,Cruzeiro,5000000,24000
2298,S. Larsson,32,Sweden,74,74,Hull City,4300000,13000
2299,S. Carson,31,England,74,74,Derby County,3400000,38000
2300,A. Erokhin,27,Russia,74,75,Zenit St. Petersburg,6500000,52000
2301,G. Torje,27,Romania,74,74,Kardemir Karabaekspor,6000000,33000
2302,S. Duffy,25,Republic of Ireland,74,79,Brighton & Hove Albion,6500000,38000
2303,Postigo,28,Spain,74,75,Levante UD,5000000,22000
2304,E. Penarendi,33,Chile,74,74,Everton de Vina del Mar,3400000,5000
2305,Edvaldisco,25,Brazil,74,74,Botafogo de Futebol e Regatas,5000000,16000
2306,F. Ayita,28,Togo,74,74,Fulham,5500000,44000
2307,A. Christiansen,27,Denmark,74,75,Malma FF,6500000,8000
2308,G. Sakai,26,Japan,74,76,Hamburger SV,5500000,29000
2309,R. Bragerie,30,France,74,74,FC Ingolstadt 04,4200000,21000
2310,Vasco Fernandes,30,Portugal,74,74,Vitaria Setabal,4200000,9000
2311,Diogo Figueiras,26,Portugal,74,77,Olympiakos CFP,5500000,1000
2312,D. Accam,26,Ghana,74,75,Chicago Fire Soccer Club,6500000,10000
2313,A. El Ghazi,22,Netherlands,74,80,LOSC Lille,7500000,36000
2314,E. Triverio,28,Argentina,74,74,Racing Club de Avellaneda,6000000,22000
2315,B. Rasaldo,33,Chile,74,74,Unian Espanola,3400000,7000
2316,M. Villanueva,24,Venezuela,74,79,Cadiz C.F.,6500000,18000
2317,C. Under,19,Turkey,74,83,Roma,8500000,29000
2318,Thiago Mendes,25,Brazil,74,79,LOSC Lille,6500000,33000
2319,P. Barrientos,32,Argentina,74,74,Deportivo Toluca,4400000,18000
2320,Filipe Augusto,23,Brazil,74,81,SL Benfica,8000000,11000
2321,P. Capelle,30,France,74,74,Angers SCO,5000000,23000
2322,H. Rodallega,31,Colombia,74,74,Trabzonspor,5000000,32000
2323,A. Epureanu,30,Moldova,74,74,Istanbul Basaksehir FK,4200000,23000
2324,M. Caraglio,28,Argentina,74,74,Club Atlas,6000000,25000
2325,B. Dja Djadja,26,Ivory Coast,74,76,Watford,5500000,44000
2326,Paulinho,22,Brazil,74,82,Portimonense SC,8500000,8000
2327,Mauraecio Antanio,25,Brazil,74,77,Urawa Red Diamonds,6000000,12000
2328,C. Gordon,34,Scotland,74,74,Celtic,2300000,36000
2329,A. Costa,32,Argentina,74,74,UD Almeraea,4300000,11000
2330,Nalson Oliveira,25,Portugal,74,77,Norwich City,7000000,37000
2331,Eraso,27,Spain,74,75,CD Leganas,6500000,23000
2332,M. Konata,24,Senegal,74,80,Amiens SC Football,8000000,19000
2333,W. Barrios,23,Colombia,74,82,Boca Juniors,7000000,18000
2334,Perdigao,25,Brazil,74,75,Grupo Desportivo de Chaves,6500000,10000
2335,A. Costa,31,Italy,74,74,Benevento Calcio,3800000,25000
2336,N. Rigoni,26,Italy,74,77,Chievo Verona,7000000,17000
2337,V. Gabulov,33,Russia,74,74,Arsenal Tula,2800000,20000
2338,I. Kahveci,21,Turkey,74,80,Istanbul Basaksehir FK,8000000,19000
2339,Sebas Couteira,29,Brazil,74,74,Santos Futebol Clube,5500000,20000
2340,Miguel Rosa,28,Portugal,74,74,CF Os Belenenses,5500000,9000
2341,Walace,22,Brazil,74,82,Hamburger SV,7000000,25000
2342,Albentosa,28,Spain,74,75,RC Deportivo de La Coruna,5000000,22000
2343,M. Locatelli,19,Italy,74,86,Milan,8500000,35000
2344,V. Vasin,28,Russia,74,75,CSKA Moscow,5000000,38000
2345,C. Obasi,31,Nigeria,74,74,AIK Solna,5000000,12000
2346,D. Percidino,33,Chile,74,74,Universidad de Chile,3400000,13000
2347,C. Despredal,33,Chile,74,74,CD Huachipato,3400000,9000
2348,Kaua Abranches,33,Brazil,74,74,Sport Club do Recife,3400000,17000
2349,H. Seferovia,25,Switzerland,74,78,SL Benfica,7500000,13000
2350,Z. Gera,38,Hungary,74,74,,0,0
2351,Chema Rodriguez,25,Spain,74,79,Levante UD,6500000,20000
2352,C. Ninga,24,Chad,74,79,Montpellier Harault SC,7500000,24000
2353,R. Sobhi,20,Egypt,74,85,Stoke City,9500000,45000
2354,T. Bifouma,25,Congo,74,78,Medicana Sivasspor,7500000,16000
2355,A. Masina,23,Italy,74,79,Bologna,6500000,36000
2356,D. Schwaab,28,Germany,74,74,PSV,4600000,15000
2357,V. Bessat,31,France,74,74,SM Caen,4900000,23000
2358,M. Ostrzolek,27,Germany,74,74,Hannover 96,4600000,33000
2359,A. Naranjeda,33,Chile,74,74,Colo-Colo,3400000,8000
2360,Nicolas Formido,29,Brazil,74,74,Cruzeiro,5500000,29000
2361,E. Cerutti,25,Argentina,74,77,San Lorenzo de Almagro,7000000,20000
2362,Pablo Hernandez,32,Spain,74,74,Leeds United,4400000,34000
2363,J. Johansson,27,Sweden,74,75,AEK Athens,5500000,1000
2364,A. Semenov,28,Russia,74,75,Terek Grozny,5000000,31000
2365,R. De Paul,23,Argentina,74,82,Udinese,8500000,25000
2366,Kuca,27,Cape Verde,74,74,Boavista FC,6000000,10000
2367,Ramalho,24,Spain,74,80,Girona CF,6500000,18000
2368,Klaber,27,Brazil,74,75,Estoril Praia,6500000,11000
2369,Ewerton,28,Brazil,74,74,1. FC Nurnberg,4600000,13000
2370,J. Gustaldo,25,Chile,74,74,Universidad Catalica,6000000,9000
2371,C. Bovo,34,Italy,74,74,Pescara,1700000,5000
2372,Dani Pacheco,26,Spain,74,75,Getafe CF,6500000,22000
2373,D. Aogo,30,Germany,74,74,VfB Stuttgart,4100000,22000
2374,M. Menarez,25,Chile,74,74,CD O'Higgins,6000000,9000
2375,S. Ristovski,25,FYR Macedonia,74,77,Sporting CP,6000000,14000
2376,Rafael,27,Brazil,74,77,Napoli,4700000,38000
2377,Sargio Oliveira,25,Portugal,74,79,FC Porto,7500000,13000
2378,Diego,29,Brazil,74,74,Stade de Reims,5500000,11000
2379,O. Drama,24,France,74,77,Moreirense FC,7000000,7000
2380,K. Lamprou,25,Greece,74,75,Ajax,4600000,9000
2381,M. Janko,34,Austria,74,74,Sparta Praha,3000000,1000
2382,I. Tsallagov,26,Russia,74,76,Dinamo Moscow,5500000,47000
2383,I. Santini,28,Croatia,74,74,SM Caen,6000000,26000
2384,C. Sortomayras,25,Chile,74,74,Universidad de Chile,6000000,14000
2385,V. Ignatiev,30,Russia,74,74,Lokomotiv Moscow,5500000,38000
2386,Ryder,24,Brazil,74,78,Udinese,7500000,25000
2387,Zainadine,29,Mozambique,74,74,CS Maraetimo,4400000,10000
2388,A. Traora,28,Burkina Faso,74,74,Atiker Konyaspor,5500000,19000
2389,AÅlex Martinez,26,Spain,74,75,Granada CF,5500000,10000
2390,M. Larrondo,28,Chile,74,74,River Plate,6000000,23000
2391,A. Iwobi,21,Nigeria,74,85,Arsenal,9500000,65000
2392,C. Salcedo,23,Mexico,74,80,Eintracht Frankfurt,6500000,38000
2393,M. Leitner,24,Germany,74,77,FC Augsburg,7000000,21000
2394,T. Baumgartl,21,Germany,74,83,VfB Stuttgart,7500000,17000
2395,J. Urretaviscaya,27,Uruguay,74,74,Pachuca,6000000,32000
2396,L. Melgarejo,26,Paraguay,74,74,Spartak Moscow,6000000,56000
2397,Gonaalo Guedes,20,Portugal,74,82,Valencia CF,8500000,54000
2398,J. Ortiz,33,Argentina,74,74,Belgrano de Cardoba,3300000,14000
2399,A. Plata,26,Colombia,74,77,Independiente Santa Fe,7000000,6000
2400,L. Ulloa,30,Argentina,74,74,Leicester City,5500000,63000
2401,E. Room,28,Curacao,74,75,PSV,4500000,13000
2402,T. Usami,25,Japan,74,77,Fortuna Dusseldorf,7000000,23000
2403,Fabio Espinho,31,Portugal,74,74,Boavista FC,4800000,10000
2404,Fabio Cardoso,23,Portugal,74,82,Rangers,7000000,38000
2405,Halder Barbosa,30,Portugal,74,74,Akhisar Belediyespor,5500000,20000
2406,S. Amrabat,20,Morocco,74,83,Feyenoord,8500000,13000
2407,R. Mora,29,Uruguay,74,74,River Plate,5500000,23000
2408,R. Botta,27,Argentina,74,74,San Lorenzo de Almagro,6000000,23000
2409,A. Ndiaye Diedhiou,20,Senegal,74,87,Getafe CF,11000000,20000
2410,A. Adomah,29,Ghana,74,74,Aston Villa,5500000,37000
2411,Nalson Lenho,33,Portugal,74,74,CD Aves,2200000,12000
2412,L. Mchedlidze,27,Georgia,74,75,Empoli,6500000,5000
2413,A. Soumaoro,25,France,74,79,LOSC Lille,6500000,33000
2414,S. Bergwijn,19,Netherlands,74,84,PSV,9000000,10000
2415,J. Forlaen,29,Argentina,74,74,Real Oviedo,4400000,10000
2416,L. Traora,27,Ivory Coast,74,75,Amiens SC Football,6500000,34000
2417,T. Kalas,24,Czech Republic,74,79,Fulham,6500000,68000
2418,Aitor Sanz,32,Spain,74,74,CD Tenerife,3200000,9000
2419,J. Fernandes,28,Chile,74,74,Alanyaspor,6000000,18000
2420,T. Toura,23,Ivory Coast,74,79,Angers SCO,7500000,20000
2421,M. Langerak,28,Australia,74,75,Levante UD,4500000,18000
2422,S. Johansen,26,Norway,74,77,Fulham,7000000,42000
2423,Tiago Pinto,29,Portugal,74,74,Osmanlnspor,4300000,18000
2424,P. Gallese,27,Peru,74,76,,0,0
2425,M. Mevlja,27,Slovenia,74,77,Zenit St. Petersburg,5500000,47000
2426,Kim Shin Wook,29,Korea Republic,74,74,Jeonbuk Hyundai Motors,5500000,14000
2427,N. Taylor,28,Wales,74,74,Aston Villa,4400000,34000
2428,U. Demirok,28,Turkey,74,74,Trabzonspor,4600000,28000
2429,D. Stephens,28,England,74,74,Brighton & Hove Albion,5500000,46000
2430,T. Matlaba,29,South Africa,74,74,Orlando Pirates,4300000,1000
2431,Merino,21,Spain,74,84,Newcastle United,8000000,32000
2432,Marc Roca,20,Spain,74,85,RCD Espanyol,8500000,18000
2433,J. Rodwell,26,England,74,76,Sunderland,6500000,12000
2434,Mauro,26,Brazil,74,76,SC Braga,5500000,11000
2435,D. Biseswar,29,Netherlands,74,74,PAOK Thessaloniki,5500000,1000
2436,Y. Al Shahrani,25,Saudi Arabia,74,75,Al Hilal,5500000,32000
2437,M. Skriniar,22,Slovakia,74,81,Inter,7000000,41000
2438,S. Privat,27,France,74,74,En Avant de Guingamp,6000000,25000
2439,Janior Caiaara,28,Brazil,74,74,Istanbul Basaksehir FK,4400000,24000
2440,G. Sara,29,Argentina,74,74,Boca Juniors,3800000,18000
2441,A. Raeos,28,Mexico,74,74,Deportivo Toluca,4600000,17000
2442,O. Tannane,23,Morocco,74,79,UD Las Palmas,7500000,28000
2443,R. Ribagaso,29,Chile,74,74,CD Universidad de Concepcian,4300000,5000
2444,I. Armas,29,Moldova,74,74,FC Anzhi Makhachkala,4400000,21000
2445,F. Cacciatore,30,Italy,74,74,Chievo Verona,4100000,16000
2446,R. van Rhijn,26,Netherlands,74,76,AZ Alkmaar,5500000,20000
2447,F. Bastians,29,Germany,74,74,VfL Bochum,4400000,18000
2448,Victorino Magela,29,Brazil,74,74,Sociedade Esportiva Palmeiras,3800000,26000
2449,J. Troisi,28,Australia,74,74,Melbourne Victory,5500000,11000
2450,K. Kamara,32,Sierra Leone,74,74,New England Revolution,4500000,10000
2451,M. Batdal,24,Turkey,74,79,Osmanlnspor,6500000,15000
2452,K. Nababkin,30,Russia,74,74,CSKA Moscow,4100000,37000
2453,G. Lo Celso,21,Argentina,74,86,Paris Saint-Germain,10000000,48000
2454,M. Diakhaby,20,France,74,82,Olympique Lyonnais,7000000,36000
2455,F. Moubandje,27,Switzerland,74,75,Toulouse FC,5000000,25000
2456,G. Karadeniz,37,Turkey,74,74,Rubin Kazan,1900000,30000
2457,T. Al Jassam,32,Saudi Arabia,74,74,Al Ahli,3200000,33000
2458,M. Heller,31,Germany,74,74,FC Augsburg,4900000,24000
2459,V. Pajot,26,France,74,74,AS Saint-Etienne,6000000,33000
2460,D. Bocanegra,30,Colombia,74,74,Atletico Nacional Medellin,4100000,6000
2461,W. Hahn,25,Netherlands,74,79,SC Heerenveen,5500000,8000
2462,Adrianiscito,25,Brazil,74,74,Fluminense Football Club,4000000,24000
2463,D. Stracqualursi,29,Argentina,74,74,Club Atlatico Tigre,5500000,6000
2464,B. Castro,34,Belgium,74,74,Heracles Almelo,2300000,9000
2465,J. Forrest,25,Scotland,74,75,Celtic,6500000,46000
2466,O. Onazi,24,Nigeria,74,77,Trabzonspor,6000000,23000
2467,T. Strakosha,22,Albania,74,84,Lazio,7000000,25000
2468,C. Sayinci,21,Turkey,74,84,SC Freiburg,8000000,17000
2469,K. Reichel,30,Germany,74,74,Eintracht Braunschweig,4100000,22000
2470,Beba,26,Portugal,74,74,SD Eibar,6000000,20000
2471,M. Wagua,26,Mali,74,77,Watford,6000000,24000
2472,M. Galvarado,25,Chile,74,74,CD Universidad de Concepcian,4900000,5000
2473,K. Tierney,20,Scotland,74,85,Celtic,8500000,34000
2474,N. Kebano,25,DR Congo,74,77,Fulham,7000000,44000
2475,M. Salcatorini,33,Chile,74,74,CD Universidad de Concepcian,3400000,6000
2476,Dentinho,28,Brazil,74,74,Shakhtar Donetsk,5500000,1000
2477,L. Romagnoli,36,Argentina,74,74,San Lorenzo de Almagro,1900000,15000
2478,D. Croce,34,Italy,74,74,Cremonese,2700000,5000
2479,A. Jelverado,33,Chile,74,74,CD Antofagasta,2300000,5000
2480,Mikel Rico,32,Spain,74,74,Athletic Club de Bilbao,4300000,22000
2481,D. Stockdale,31,England,74,74,Birmingham City,3400000,21000
2482,Josa AÅngel,27,Spain,74,74,SD Eibar,4600000,18000
2483,V. Stoyanov,30,Bulgaria,74,74,,0,0
2484,P. Ketlun,25,Chile,74,74,Universidad de Chile,5000000,12000
2485,K. Grosskreutz,28,Germany,74,74,SV Darmstadt 98,5500000,25000
2486,M. Demir,25,Turkey,74,76,Medicana Sivasspor,7000000,16000
2487,D. Lezcano,27,Paraguay,74,75,FC Ingolstadt 04,6500000,25000
2488,K. Panchenko,27,Russia,74,75,Dinamo Moscow,6500000,35000
2489,J. Puncheon,31,England,74,74,Crystal Palace,4800000,48000
2490,G. Cimirot,24,Bosnia Herzegovina,74,77,PAOK Thessaloniki,7000000,1000
2491,R. Morrison,24,England,74,78,Club Atlas,7500000,36000
2492,K. Moncora,25,Chile,74,74,Universidad de Chile,5000000,12000
2493,Padilhisco,25,Brazil,74,74,Sao Paulo Futebol Clube,4900000,24000
2494,L. Christodoulopoulos,30,Greece,74,74,AEK Athens,5500000,1000
2495,R. Olsen,27,Sweden,74,76,FC Kobenhavn,4600000,16000
2496,L. Depoitre,28,Belgium,74,74,Huddersfield Town,6000000,50000
2497,A. Bedoya,30,United States,74,74,Philadelphia Union,5000000,9000
2498,J. Tarkowski,24,England,74,79,Burnley,6500000,38000
2499,A. Romao,33,Togo,74,74,Olympiakos CFP,2300000,1000
2500,D. McCarty,30,United States,74,74,Chicago Fire Soccer Club,4200000,8000
2501,S. Aziz,26,Turkey,74,77,Galatasaray SK,6000000,45000
2502,M. Sau,29,Italy,74,74,Cagliari,5500000,52000
2503,J. Schieber,28,Germany,74,74,Hertha BSC Berlin,6000000,30000
2504,M. Odegaard,18,Norway,74,86,SC Heerenveen,9500000,71000
2505,Fabio Sturgeon,23,Portugal,74,78,Vitaria Guimaraes,7500000,10000
2506,Z. Kuzmanovic,29,Serbia,74,74,Malaga CF,5500000,36000
2507,F. Jara,28,Argentina,74,74,Pachuca,6000000,33000
2508,GabrA¨el,24,Brazil,74,80,Milan,5500000,45000
2509,M. Oikonomou,24,Greece,74,78,Ferrara (SPAL),6000000,36000
2510,Juanpe,26,Spain,74,78,Girona CF,6000000,21000
2511,A. Niane,24,Mali,74,76,ES Troyes AC,7000000,22000
2512,D. Diekmeier,27,Germany,74,75,Hamburger SV,5000000,29000
2513,G. Burdisso,28,Argentina,74,74,Club Lean,4600000,28000
2514,Rodrigo Ely,23,Brazil,74,78,Deportivo Alavas,6000000,18000
2515,M. Benaetez,23,Argentina,74,81,Independiente,8000000,18000
2516,R. Salin,32,France,74,74,Sporting CP,3200000,12000
2517,H. Balta,34,Turkey,74,74,Galatasaray SK,1700000,45000
2518,J. Herrera,36,Chile,74,74,,0,0
2519,J. van Aken,23,Netherlands,74,79,Sheffield Wednesday,6500000,40000
2520,G. Jourdren,31,France,74,74,AS Nancy Lorraine,3400000,7000
2521,Y. Yazici,20,Turkey,74,82,Trabzonspor,8500000,23000
2522,M. Velazquez,36,Argentina,74,74,Club Atlatico Lanas,650000,11000
2523,D. Marshall,32,Scotland,74,74,Hull City,3200000,9000
2524,Jesus Andradaldo,25,Brazil,74,74,Cruzeiro,4900000,24000
2525,P. Mpoku,25,DR Congo,74,76,Standard de Liege,7000000,16000
2526,M. Penazco,33,Chile,74,74,Universidad Catalica,2300000,7000
2527,A. Camdali,33,Turkey,74,74,Atiker Konyaspor,2300000,17000
2528,J. Ikoko,23,DR Congo,74,79,En Avant de Guingamp,6500000,18000
2529,M. Dmitrovic,25,Serbia,74,77,SD Eibar,5000000,14000
2530,S. Aluko,28,Nigeria,74,74,Reading,5500000,38000
2531,P. Max,23,Germany,74,78,FC Augsburg,6000000,19000
2532,L. Quinones,26,Colombia,74,75,Lobos de la BUAP,6500000,54000
2533,F. Uribe,29,Colombia,74,74,Deportivo Toluca,5500000,21000
2534,G. Suleziano,25,Chile,74,74,Deportes Iquique,5000000,4000
2535,J. Faret,34,France,74,74,SM Caen,2700000,23000
2536,Yeom Ki Hun,34,Korea Republic,74,74,Suwon Samsung Bluewings,3000000,11000
2537,A. Cubas,21,Argentina,74,84,Defensa y Justicia,8000000,16000
2538,E. Unal,20,Turkey,74,84,Villarreal CF,9000000,25000
2539,Lao Matos,31,Brazil,74,74,PAOK Thessaloniki,3700000,1000
2540,I. Obradovic,28,Serbia,74,74,RSC Anderlecht,4400000,21000
2541,F. Kainz,24,Austria,74,78,SV Werder Bremen,7500000,23000
2542,J. Lascelles,23,England,74,81,Newcastle United,7000000,45000
2543,B. Bialkowski,29,Poland,74,74,Ipswich Town,3800000,16000
2544,J. Guerredero,25,Chile,74,74,Deportes Iquique,5000000,4000
2545,Oier,31,Spain,74,74,CA Osasuna,3800000,10000
2546,I. Novoseltsev,25,Russia,74,77,Zenit St. Petersburg,6000000,45000
2547,A. Kona,33,Ivory Coast,74,74,Medicana Sivasspor,3500000,17000
2548,M. Daeaz,26,Argentina,74,75,FC Dallas,6500000,9000
2549,P. Sisto,22,Denmark,74,83,RC Celta de Vigo,8500000,22000
2550,A. Selikhov,23,Russia,74,80,Spartak Moscow,5500000,31000
2551,M. Jensen,29,Denmark,74,74,Rosenborg BK,5500000,9000
2552,Feng Xiaoting,31,China PR,74,74,,0,0
2553,J. Fuenzalida,32,Chile,74,74,,0,0
2554,M. Leye,34,Senegal,74,74,KAS Eupen,3000000,15000
2555,Lee Jae Sung,24,Korea Republic,74,79,Jeonbuk Hyundai Motors,7500000,11000
2556,G. Whelan,33,Republic of Ireland,74,74,Aston Villa,2300000,32000
2557,Y. Jouffre,32,France,74,74,FC Metz,4400000,16000
2558,O. Colley,24,Gambia,74,80,KRC Genk,6500000,13000
2559,A. Desenda,29,Chile,74,74,Universidad Catalica,5500000,9000
2560,Y. Gouffran,31,France,74,74,Gaztepe,4900000,19000
2561,Juan Villar,29,Spain,74,74,CD Tenerife,5500000,10000
2562,K. Waston,29,Costa Rica,74,74,Vancouver Whitecaps FC,4400000,9000
2563,M. Jedinak,32,Australia,74,74,Aston Villa,3200000,32000
2564,J. Mandez,32,Argentina,74,74,Deportivo Toluca,4300000,18000
2565,R. Cohade,32,France,74,74,FC Metz,4400000,16000
2566,L. Pocrnjic,35,Argentina,74,74,Newell's Old Boys,1300000,8000
2567,S. Uaan,23,Turkey,74,81,FC Sion,8000000,48000
2568,BobA¥,32,Brazil,74,74,Sydney FC,4500000,12000
2569,J. Meram,28,Iraq,74,74,Columbus Crew SC,5500000,10000
2570,N. Stanciu,24,Romania,74,80,RSC Anderlecht,7500000,19000
2571,G. Gutierrez,25,Chile,74,74,Universidad Catalica,6000000,8000
2572,E. Gulum,30,Turkey,74,74,Adelaide United,4200000,7000
2573,F. Grillitsch,21,Austria,74,80,TSG 1899 Hoffenheim,7500000,25000
2574,Deivid,28,Spain,74,75,Real Valladolid,5000000,10000
2575,V. Albarado,29,Chile,74,74,CD Antofagasta,5500000,5000
2576,M. Peybernes,26,France,74,76,Gaztepe,5500000,17000
2577,D. Gonzalez,29,Argentina,74,74,Racing Club de Avellaneda,5500000,20000
2578,D. Luckassen,21,Netherlands,74,81,PSV,7000000,11000
2579,F. Peluso,33,Italy,74,74,Sassuolo,2200000,42000
2580,L. Pionnier,35,France,74,74,Montpellier Harault SC,1300000,12000
2581,R. Cota,29,Mexico,74,74,Guadalajara,3800000,23000
2582,P. Lasne,28,France,74,74,Montpellier Harault SC,5500000,26000
2583,M. Samassa,27,Mali,74,75,ES Troyes AC,4400000,17000
2584,A. Rebrov,33,Russia,74,74,Spartak Moscow,2800000,38000
2585,M. Simon,21,Nigeria,74,81,KAA Gent,8000000,19000
2586,Bruno Gama,29,Portugal,74,74,RC Deportivo de La Coruna,5500000,23000
2587,Fidel,27,Spain,74,74,UD Almeraea,6000000,11000
2588,A. Yusupov,27,Russia,74,74,FC Rostov,6000000,52000
2589,Ricardo Esgaio,24,Portugal,74,78,SC Braga,6000000,10000
2590,Edundo Oliveira,25,Brazil,74,74,Clube Atlatico Mineiro,5000000,28000
2591,F. Ricca,22,Uruguay,74,82,Malaga CF,7000000,18000
2592,David Siman,27,Spain,74,75,UD Las Palmas,5000000,18000
2593,H. Milic,28,Croatia,74,74,Olympiakos CFP,4400000,1000
2594,A. Rusnak,22,Slovakia,74,79,Real Salt Lake,7500000,8000
2595,D. Ndong,23,Gabon,74,81,Sunderland,8000000,10000
2596,Ricardo,36,Cape Verde,74,74,FC Paaos de Ferreira,750000,8000
2597,Djalma,30,Angola,74,74,PAOK Thessaloniki,5500000,1000
2598,A. Ragusa,27,Italy,74,74,Sassuolo,6000000,50000
2599,Y. Mollo,27,France,74,74,Fulham,6000000,42000
2600,M. Dawson,33,England,74,74,Hull City,2300000,12000
2601,Toza,24,Portugal,74,79,Moreirense FC,7500000,10000
2602,D. Padelli,31,Italy,74,74,Inter,3400000,38000
2603,M. Richards,29,England,74,74,Aston Villa,4400000,34000
2604,D. Tosic,32,Serbia,74,74,Besiktas JK,3200000,40000
2605,T. Serero,27,South Africa,74,75,Vitesse,6500000,13000
2606,Pere Pons,24,Spain,74,80,Girona CF,7500000,20000
2607,T. Sparv,30,Finland,74,74,FC Midtjylland,4200000,25000
2608,J. Hogg,28,England,74,74,Huddersfield Town,4600000,42000
2609,V. Manceau,27,France,74,74,Angers SCO,4600000,21000
2610,A. Djiku,22,France,74,80,SM Caen,6500000,18000
2611,Sergio Sanchez,31,Spain,74,74,RCD Espanyol,3800000,37000
2612,Medran,23,Spain,74,80,Deportivo Alavas,7500000,24000
2613,K. Molino,27,Trinidad & Tobago,74,75,Minnesota Thunder,6500000,9000
2614,Enaldo Toxeto,29,Brazil,74,74,Sociedade Esportiva Palmeiras,4400000,31000
2615,Y. Cahuzac,32,France,74,74,Toulouse FC,3200000,25000
2616,Elustondo,30,Spain,74,74,Atletico Nacional Medellin,4200000,6000
2617,J. Schmid,27,France,74,74,FC Augsburg,6000000,24000
2618,Moi Gamez,23,Spain,74,80,Real Sporting de Gijan,7500000,11000
2619,C. Samba,33,Congo,74,74,Aston Villa,2300000,32000
2620,Edmilson Junior,22,Brazil,73,79,Standard de Liege,5500000,15000
2621,S. Wuytens,27,Belgium,73,74,AZ Alkmaar,4500000,12000
2622,M. Mohammadi,23,Iran,73,80,Terek Grozny,4700000,25000
2623,Laure,32,Spain,73,73,AD Alcorcan,2200000,11000
2624,D. Ousted,32,Denmark,73,73,Vancouver Whitecaps FC,2300000,7000
2625,T. Ndoro,29,Zimbabwe,73,73,Al Faisaly,4000000,29000
2626,J. Zmrhal,23,Czech Republic,73,78,,0,0
2627,H. Lansbury,26,England,73,76,Aston Villa,4900000,35000
2628,D. Yurchenko,31,Russia,73,73,FC Tosno,2400000,17000
2629,Wu Lei,25,China PR,73,76,,0,0
2630,Gabriel Boschilia,21,Brazil,73,83,AS Monaco,6500000,24000
2631,J. Stanislas,27,England,73,73,Bournemouth,4200000,56000
2632,Richarlison,20,Brazil,73,85,Watford,7000000,38000
2633,M. Wilson,29,Republic of Ireland,73,73,Sunderland,3100000,11000
2634,S. Palitsevich,27,Belarus,73,73,Genalerbirlissi SK,3400000,17000
2635,O. Assaidi,28,Morocco,73,73,FC Twente,4000000,12000
2636,J. Maclaren,23,Australia,73,77,SV Darmstadt 98,5500000,23000
2637,G. Letizia,27,Italy,73,74,Benevento Calcio,3700000,25000
2638,G. Friend,29,England,73,73,Middlesbrough,3000000,18000
2639,D. Parez,28,Argentina,73,73,Club Tijuana,3200000,21000
2640,M. Pasqual,35,Italy,73,73,Empoli,875000,3000
2641,M. Morishige,30,Japan,73,73,F.C. Tokyo,3000000,11000
2642,I. Mboyo,30,Belgium,73,73,FC Sion,3900000,22000
2643,S. Holman,33,Sweden,73,73,IF Elfsborg,2300000,7000
2644,Brenito Duarte,33,Brazil,73,73,Fluminense Football Club,1600000,32000
2645,Carlos Ponck,22,Cape Verde,73,80,CD Aves,4800000,10000
2646,O. Ustari,30,Argentina,73,73,Club Atlas,2600000,16000
2647,P. Kasami,25,Switzerland,73,75,FC Sion,4800000,19000
2648,L. Pasciuti,27,Italy,73,73,Carpi,4200000,5000
2649,Nano,22,Spain,73,80,Levante UD,5500000,19000
2650,Braga,34,Portugal,73,73,CD Aves,1900000,13000
2651,M. Miazga,21,United States,73,82,Vitesse,5500000,60000
2652,De las Cuevas,31,Spain,73,73,CA Osasuna,3400000,11000
2653,K. Havertz,18,Germany,73,88,Bayer 04 Leverkusen,8000000,25000
2654,S. Rybalka,27,Ukraine,73,76,Medicana Sivasspor,4000000,14000
2655,G. Makaridze,27,Georgia,73,73,Moreirense FC,2700000,6000
2656,Johnathan,27,Brazil,73,73,Suwon Samsung Bluewings,4300000,11000
2657,B. Kayal,29,Israel,73,73,Brighton & Hove Albion,3800000,46000
2658,Kim Bo Kyung,27,Korea Republic,73,73,Kashiwa Reysol,4100000,14000
2659,M. Gregoritsch,23,Austria,73,79,FC Augsburg,5500000,21000
2660,M. Michel,25,France,73,77,Angers SCO,3700000,16000
2661,A. Di Gaudio,27,Italy,73,73,Parma,4200000,6000
2662,A. Johansson,35,Sweden,73,73,IFK Norrkaping,950000,5000
2663,N. Acevedo,28,Argentina,73,73,Unian de Santa Fe,3200000,18000
2664,K. Ansarifard,27,Iran,73,74,Olympiakos CFP,4700000,1000
2665,D. Bessa,24,Italy,73,77,Hellas Verona,5000000,23000
2666,C. Carbonero,26,Colombia,73,74,Corporacian Club Deportivo Tulua,4600000,3000
2667,Naranjo,22,Spain,73,79,CD Leganas,5500000,16000
2668,J. Lucero,25,Argentina,73,75,Club Tijuana,5000000,23000
2669,D. Calabria,20,Italy,73,83,Milan,5500000,51000
2670,Douglas,29,Netherlands,73,73,Sporting CP,3100000,15000
2671,S. Vergini,28,Argentina,73,74,Boca Juniors,3600000,22000
2672,Cifuentes,26,Spain,73,76,Malaga CF,4100000,21000
